"","city","state","totalpop","latitude","longitude"
"345","Allendale","SC",4990,32.990158,-81.287561
"346","Allenhurst","GA",4591,31.779116,-81.60385
"347","Allenhurst","NJ",1533,40.237111,-74.008581
"348","Allenport","PA",470,40.095888,-79.849887
"349","Allenspark","CO",420,40.210184,-105.50795
"350","Allensville","KY",657,36.720672,-87.104104
"351","Allensville","PA",784,40.539667,-77.790168
"352","Allenton","MI",3285,42.938828,-82.919818
"353","Allenton","WI",2299,43.382128,-88.26219
"354","Allentown","GA",112,32.606433,-83.20951
"355","Allentown","NJ",6582,40.149712,-74.539598
"356","Allentown","NY",239,42.073739,-78.059374
"357","Allentown","PA",166081,40.62361075,-75.510333
"358","Allenwood","NJ",843,40.138878,-74.11221
"359","Allenwood","PA",4683,40.978059,-77.08184
"360","Allerton","IA",878,40.672872,-93.405589
"361","Allerton","IL",361,39.923693,-87.899719
"362","Alleyton","TX",978,29.709171,-96.486458
"363","Allgood","AL",124,33.922162,-86.449262
"364","Alliance","NE",10125,42.219844,-103.073327
"365","Alliance","OH",35294,40.820292,-81.335275
"366","Alligator","MS",597,34.074216,-90.75974
"367","Allison Park","PA",24292,40.434436,-80.024817
"368","Allison","IA",1603,42.697108,-92.7981
"369","Allison","PA",551,39.986828,-79.863732
"370","Allison","TX",162,35.401181,-100.270306
"371","Allons","TN",1613,36.481086,-85.346687
"372","Allouez","MI",336,47.287939,-88.412893
"373","Alloway","NJ",844,39.559077,-75.350573
"374","Alloy","WV",112,38.041293,-81.064784
"375","Allport","PA",318,40.989115,-78.422403
"376","Allred","TN",22,36.323952,-85.203098
"377","Allston","MA",21503,42.357169,-71.112646
"378","Allyn","WA",3232,47.322429,-122.984003
"379","Alma Center","WI",1307,44.451027,-90.975918
"380","Alma","AR",13787,35.479157,-94.193334
"381","Alma","CO",933,39.297972,-106.063548
"382","Alma","GA",9848,31.576952,-82.461197
"383","Alma","IL",961,38.758394,-88.929039
"384","Alma","KS",1721,38.953556,-96.204558
"385","Alma","MI",12923,43.298805,-84.63017
"386","Alma","MO",656,39.105644,-93.590916
"387","Alma","NE",1446,40.101761,-99.352846
"388","Alma","NY",183,42.025431,-78.084837
"389","Alma","WI",1624,44.346721,-91.836481
"390","Alma","WV",1000,39.450612,-80.870081
"391","Almena","KS",599,39.891272,-99.711523
"392","Almena","WI",1471,45.434373,-91.965942
"393","Almira","WA",497,47.529705,-118.599193
"394","Almo","ID",168,42.084606,-113.628255
"395","Almo","KY",2330,36.690186,-88.283872
"396","Almond","NC",366,35.409905,-83.479397
"397","Almond","NY",1479,42.313285,-77.851286
"398","Almond","WI",2181,44.379544,-89.356552
"399","Almont","CO",275,38.820006,-106.660278
"400","Almont","MI",6070,42.934027,-83.052481
"401","Almont","ND",264,46.720185,-101.498156
"402","Almyra","AR",746,34.38443,-91.392364
"403","Alna","ME",709,44.008962,-69.566684
"404","Alpaugh","CA",1348,35.85829,-119.303735
"405","Alpena","AR",1696,36.310814,-93.252276
"406","Alpena","MI",22701,45.033143,-83.495091
"407","Alpena","SD",516,44.122811,-98.412198
"408","Alpha","IL",1075,41.20188,-90.245619
"409","Alpha","KY",130,36.751732,-85.135354
"410","Alpha","MI",145,46.030951,-88.377097
"411","Alpha","MN",420,43.674174,-95.154494
"412","Alpha","OH",130,39.706459,-84.016233
"413","Alpharetta","GA",165556,34.01544075,-84.3116165
"414","Alpine","AL",4546,33.403969,-86.233878
"415","Alpine","AZ",464,34.177052,-109.240647
"416","Alpine","CA",17403,32.74081,-116.976341
"417","Alpine","NJ",1849,40.958975,-73.927906
"418","Alpine","NY",1100,42.375566,-76.732706
"419","Alpine","TN",560,36.364735,-85.189932
"420","Alpine","TX",7711,30.397244,-103.68234
"421","Alpine","UT",9818,40.459133,-111.773164
"422","Alpine","WY",1601,43.030327,-110.884515
"423","Alplaus","NY",497,42.859176,-73.902117
"424","Alsea","OR",1126,44.377113,-123.588271
"425","Alsen","ND",60,48.77178,-98.464102
"426","Alsey","IL",199,39.551987,-90.386156
"427","Alsip","IL",22285,41.811929,-87.68732
"428","Alstead","NH",2654,43.134412,-72.310623
"429","Alston","GA",80,32.077458,-82.482488
"430","Alta Vista","IA",625,43.13992,-92.424719
"431","Alta Vista","KS",848,38.864507,-96.488112
"432","Alta","CA",983,39.214162,-120.795987
"433","Alta","IA",2741,42.735364,-95.151121
"434","Altadena","CA",36126,33.786594,-118.298662
"435","Altair","TX",106,29.60466,-96.524899
"436","Altamont","IL",4430,39.053436,-88.719754
"437","Altamont","KS",1535,37.222616,-95.360819
"438","Altamont","MO",466,39.893337,-94.090928
"439","Altamont","NY",7164,42.688731,-74.030596
"440","Altamont","TN",1429,35.360328,-85.789682
"441","Altamont","UT",725,40.320728,-110.435974
"442","Altamonte Springs","FL",56439,28.6774405,-81.322704
"443","Altavista","VA",5693,37.225543,-79.24118
"444","Altenburg","MO",834,37.627908,-89.574503
"445","Altha","FL",4497,30.553171,-85.171315
"446","Altheimer","AR",1311,34.284273,-91.698007
"447","Altmar","NY",1610,43.497512,-75.988154
"448","Alto Pass","IL",677,37.546479,-89.357896
"449","Alto","GA",8291,34.50429,-83.594758
"450","Alto","MI",7585,42.856096,-85.402859
"451","Alto","NM",2586,33.388573,-105.652113
"452","Alto","TX",4179,31.806668,-95.142971
"453","Alton Bay","NH",1538,43.502514,-71.277387
"454","Alton","IA",1700,43.03801,-95.970314
"455","Alton","IL",32704,38.929065,-89.968862
"456","Alton","KS",270,39.430147,-98.928883
"457","Alton","MO",3613,36.692896,-91.397129
"458","Alton","NH",3716,43.462586,-71.222455
"459","Alton","UT",131,37.438637,-112.482285
"460","Alton","VA",2450,36.596827,-79.043054
"461","Altona","IL",854,41.096307,-90.138335
"462","Altona","NY",2148,44.865209,-73.577683
"463","Altonah","UT",302,40.320728,-110.435974
"464","Altoona","AL",7727,34.07097,-86.209599
"465","Altoona","FL",2705,29.059052,-81.581964
"466","Altoona","IA",16136,41.65097,-93.4685
"467","Altoona","KS",746,37.525023,-95.661801
"468","Altoona","PA",63424,40.498826,-78.3662545
"469","Altoona","WI",7039,44.803612,-91.442253
"470","Altura","MN",1423,44.085616,-91.946134
"471","Alturas","CA",5490,41.433984,-120.640865
"472","Altus","AR",2048,35.434638,-93.759811
"473","Altus","OK",21636,34.663039,-99.280343
"474","Alum Bank","PA",1872,40.198627,-78.622801
"475","Alum Bridge","WV",354,39.09078,-80.470734
"476","Alum Creek","WV",2782,38.243675,-81.771226
"477","Alva","FL",4947,26.595182,-81.6815
"478","Alva","OK",6846,36.826594,-98.640045
"479","Alva","WY",110,44.68734,-104.441353
"480","Alvada","OH",1032,41.054782,-83.391792
"481","Alvarado","MN",490,48.191085,-96.998433
"482","Alvarado","TX",19759,32.421034,-97.196279
